HomeTeam,AwayTeam,Date,Time
St Truiden,Dender,08/08/2025,20:45 
Club Brugge,Cercle Brugge,09/08/2025,16:00
Westerlo,Mechelen,09/08/2025,18:15
Gent,St. Gilloise,09/08/2025,20:45
RAAL La Louviere,Charleroi,10/08/2025,13:30
Anderlecht,Waregem,10/08/2025,16:00
Standard,Genk,10/08/2025,18:30
Antwerp,Oud-Heverlee Leuven,10/08/2025,19:15
Oud-Heverlee Leuven,Genk,15/08/2025,20:45
Waregem,Club Brugge,16/08/2025,16:00
Mechelen,Gent,16/08/2025,18:15
St. Gilloise,Standard,16/08/2025,20:45
Dender,Anderlecht,17/08/2025,13:30
St Truiden,RAAL La Louviere,17/08/2025,16:00
Charleroi,Antwerp,17/08/2025,18:30 
Cercle Brugge,Westerlo,17/08/2025,19:15 
Club Brugge,Westerlo,23/08/2025,16:00
Standard,Cercle Brugge,23/08/2025,18:15
Waregem,St Truiden,23/08/2025,20:45
Genk,Charleroi,24/08/2025,
Antwerp,Mechelen,24/08/2025,13:30
Anderlecht,Gent,24/08/2025,16:00
RAAL La Louviere,St. Gilloise,24/08/2025,18:30
Dender,Oud-Heverlee Leuven,24/08/2025,19:15
